time	I1	I2	I3		
0.0204662651	-0.8022184	-0.17911	1.006684		
0.0205312373	-0.7962841	-0.2179531	1.007763		
0.0205962096	-0.7644543	-0.2309008	1.040672		
0.0206611819	-0.7585199	-0.2751388	1.041212		
0.0207261541	-0.7417958	-0.3058896	1.056317		
0.0207911264	-0.7229138	-0.3366404	1.07412		
0.0208560987	-0.7202163	-0.3851943	1.071423		
0.0209210710	-0.6862286	-0.3965236	1.110266		
0.0209860432	-0.6802942	-0.4407616	1.115661		
0.0210510155	-0.6490039	-0.4564067	1.149649		
0.0211159878	-0.6452276	-0.5028027	1.154504		
0.0211809600	-0.6403721	-0.5394879	1.165833		
0.0212459323	-0.6220295	-0.5567515	1.197663		
0.0213109046	-0.6263455	-0.6020685	1.197124		
0.0213758768	-0.5955946	-0.6080028	1.238664		
0.0214408491	-0.5945156	-0.644688	1.240283		
0.0215058214	-0.5767125	-0.6592542	1.259704		
0.0215707937	-0.5643043	-0.6851496	1.260783		
0.0216357659	-0.5621464	-0.7250717	1.230572		
0.0217007382	-0.5152109	-0.7126635	1.252691		
0.0217657105	-0.5017238	-0.7385589	1.231651		
0.0218306827	-0.4618016	-0.7358615	1.238664		
0.0218956550	-0.445617	-0.7622964	1.212229		
0.0219606273	-0.4364457	-0.797363	1.172307		
0.0220255995	-0.3846548	-0.7800995	1.189571		
0.0220905718	-0.3679307	-0.8032974	1.159359		
0.0221555441	-0.3301666	-0.804916	1.151807		
0.0222205164	-0.3031922	-0.8178636	1.132385		
0.0222854886	-0.2853891	-0.8405221	1.103792		
0.0223504609	-0.243309	-0.8302718	1.103792		
0.0224154332	-0.2260454	-0.848075	1.073581		
0.0224804054	-0.1963736	-0.8529303	1.057936		
0.0225453777	-0.1683202	-0.8599437	1.042291		
0.0226103500	-0.15807	-0.8869181	1.007763		
0.0226753222	-0.1100555	-0.8718125	1.014237		
0.0227402945	-0.09171294	-0.8917735	0.9861839		
0.0228052668	-0.06635701	-0.9020237	0.9721572		
0.0228702391	-0.03884313	-0.9090371	0.9619069		
0.0229352113	-0.02805337	-0.935472	0.9284586		
0.0230001836	0.01996105	-0.9214453	0.9370905		
0.0230651559	0.03776415	-0.9435643	0.9090371		
0.0231301281	0.06473855	-0.9511171	0.8944709		
0.0231951004	0.09656833	-0.959749	0.8739703		
